ID_event,Event_Type,Event_Description,Event_Strength,Geographic_Impact,Start_date,End_date,Precise_Date_Start,Precise_Date_End,Season,Chronological_precision,Lat,Lon,Modern_Location_Name,Ancient_Location_Name,Spatial_Precision,Extra_Notes,Paleoenvironmental_Comparison,Pfister_Wet_Dry,Pfister_Cold_Warm
6,4,"L'annalista indica all'anno 1009 l'avvenimento di una grandinata tale da distruggere olivi e uccidere pesci e uccelli, verosimilmente in Italia",3,4,1009,1009,NA,NA,NA,3,NA,NA,Italia,Italia,FALSE,NA,NA,3,-3
7,4,"L'annalista indica all'anno 1024 l'avvenimento di una forte grandinata, probabilmente in Italia",1,4,1024,1024,NA,NA,NA,3,NA,NA,Italia,Italia,FALSE,NA,NA,1,-1
24,4,Il cronista indica all'anno 1234 una forte grandinata con neve e una tempesta in Puglia nel 1234 tali da aver causato una carestia,1,4,1234,1234,1/1/1234,28/02/1234,Inverno,4,NA,NA,Puglia,Apulia,FALSE,NA,NA,1,-1
34,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità in Puglia,2,3,1315,1315,31/05/1315,31/05/1315,Primavera,5,NA,NA,Puglia,Apulia,FALSE,NA,NA,-2,2
35,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità a Calaggio,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,41.05890033000001,15.3498391,Calaggio,NA,TRUE,NA,NA,-2,2
36,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità a Domicella,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,40.87918553,14.58823228,Domicella,NA,TRUE,NA,NA,-2,2
37,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità in San Marco in Ordona,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,41.190000000000005,15.38,San Marco di Ordona,NA,TRUE,NA,NA,-2,2
38,8,L'atto datato 31 maggio 1315 indica un calore eccessivo e un periodo di siccità a Foggia,2,1,1315,1315,31/05/1315,31/05/1315,Primavera,5,41.27,15.33,Foggia,NA,TRUE,NA,NA,-2,2
40,1,L'atto datato 26 febbraio 1325 indica una siccità in Terra di Bari,3,4,1325,1325,26/02/1325,26/02/1325,Inverno,5,NA,NA,Terra di Bari,NA,FALSE,NA,NA,-3,NA
41,8,Calore eccessivo tra il 1323 e il 1325 in Terra di Bari,3,4,1325,1325,26/02/1325,26/02/1325,Inverno,5,NA,NA,Terra di Bari,NA,FALSE,NA,NA,-3,3
42,9,Freddo eccessivo tra il 1323 e il 1325 in Terra di Bari,3,4,1325,1325,26/02/1325,26/02/1325,Inverno,5,NA,NA,Terra di Bari,NA,FALSE,NA,NA,3,-3
47,8,"Il cronista indica all'anno 1475, il 27 agosto, l'avvenimento di un calore eccessivo a Lecce tale da seccare tutte le vigne",2,1,1475,1475,27/08/1475,27/08/1475,Estate,5,40.35459999,18.16702035,Lecce,NA,TRUE,NA,NA,-2,2
49,9,Il cronista indica all'anno 1478 l'avvenimento di un freddo eccessivo a Lecce tale da provcare un'alta mortalità di pesce in mare,2,1,1478,1478,NA,NA,NA,3,40.35459999,18.16702035,Lecce,NA,TRUE,NA,NA,2,-2
50,5,"Il cronista indica all'anno 1190 che vi furono 'forti pioggie' ma omette il luogo, probabilmente si riferisce all'Italia",3,4,1190,1190,NA,NA,NA,3,NA,NA,Italia,Italia,FALSE,NA,NA,3,NA
55,4,Il cronista indica all'anno 1468 una nevicata avvenuta a Lecce tale da seccare gli olivi e gli aranci dopo la quale morirono anche molti uccelli,2,1,1468,1468,NA,NA,NA,3,40.35459999,18.16702035,Lecce,NA,TRUE,NA,NA,2,-2
60,4,"Il cronista indica all'anno 1268, nella metà di aprile, l'avvenimento nel Regno di una forte nevicata che durò due giorni e due notti, seguita da un forte gelo che distrusse le vigne",3,4,1269,1269,15/04/1269,17/04/1269,Primavera,5,NA,NA,Regno,Regnum,FALSE,NA,NA,3,-3
61,8,"L'atto del 15 agosto 1280 indica un calore eccessivo in Capitanata, in particolare a Lucera, che provocò una carenza di pascoli tale da indurre il mastro massaro delle aziende regie a dichiarare di non poter fornire l'orzo necessario per i cavalli",2,4,1280,1280,15/08/1280,15/08/1280,Estate,5,41.50772143,15.33381979,Capitanata/Lucera,NA,FALSE,NA,NA,-2,2
63,8,"Il cronista indica all'anno 1208, durante la stagione estiva, che il calore era così intenso in Puglia che gli era loro impossibile recarvici personalmente",2,4,1208,1208,NA,NA,Estate,4,NA,NA,Puglia,Apulia,FALSE,NA,NA,-2,2
65,1,L'atto del 31 maggio 1288 indica che i campi della masseria regia di Visciglieto (in Capitanata) sono stati danneggiati dalla siccità e dal gelo,2,1,1288,1288,31/05/1288,31/05/1288,Primavera,5,41.563885559999996,15.34863339,Visciglieto,Bisselletum,TRUE,NA,NA,-2,NA
66,9,L'atto del 31 maggio 1288 indica che i campi della masseria regia di Visciglieto (in Capitanata) sono stati danneggiati dalla siccità e dal gelo,2,1,1288,1288,31/05/1288,31/05/1288,Primavera,5,41.563885559999996,15.34863339,Visciglieto,Bisselletum,TRUE,NA,NA,2,-2
88,5,L'atto notarile datato 15 gennaio 1234 indica la minaccia di un tempo piovoso che avrebbe potuto arrecare danno ad alcuni privilegi scritti della chiesa gravinese,1,1,1234,1234,15/01/1234,15/01/1234,Inverno,5,40.81867313,16.42,Gravina,Gravina,TRUE,Il fatto stesso che venga citata la minaccia di un tempo piovoso potrebbe significare l'avvenimento di una forte precipitazione fuori dall'ordinario,NA,1,NA
91,4,"Il cronista indica all'anno 1322, nei mesi di novembre, dicembre e gennaio, delle grandi nevicate avvenute in tutta Italia",2,4,1322,1323,1/11/1322,31/01/1323,Autunno/Inverno,5,NA,NA,Italia,Italia,FALSE,NA,NA,2,-2
92,1,Il cronista indica all'anno 1322 che per un periodo di otto mesi in Puglia ci fu una grande siccità tale da causare una carestia,2,3,1322,1322,NA,NA,NA,5,NA,NA,Puglia,Apulia,FALSE,NA,NA,-2,NA
103,4,Il cronista indica tra l'ottobre del 1464 e il marzo del 1465 delle forti nevicate all'Aquila,3,1,1464,1465,20/10/1464,31/03/1465,Autunno/Inverno/Primavera,5,42.348858820000004,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",NA,3,-3
104,4,Il cronista indica che il 31 marzo 1470 ci furono forti nevicate che persistettero fino al 15 aprile,2,1,1470,1470,31/03/1470,15/04/1470,Primavera,5,42.348858820000004,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",NA,2,-2
105,9,Il cronista indica come per tutto marzo del 1470 ci furono grandi freddi,2,1,1470,1470,1/3/1470,31/03/1470,Inverno/Primavera,5,42.348858820000004,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",NA,2,-2
107,5,Il cronista indica che il 15 di aprile del 1470 ci furono pioggie e mal tempo,2,1,1470,1470,15/04/1470,15/04/1470,Primavera,5,42.348858820000004,13.39711718,L'Aquila,L'Aquila,TRUE,"Il cronista non specifica il luogo, ma dovrebbe riferirsi probabilmente a L'Aquila, cosa tuttavia non scontata in quanto di solito lo specifica sempre",NA,2,NA
112,3,L'atto datato 7 giugno 1277 indica come a causa dell'inondazione delle acque ci sarebbe stato uno spostamento dell'alveo del fiume Ofanto,3,1,1277,1277,7/6/1277,7/6/1277,Primavera,5,41.327450320000004,16.18842757,Fiume Ofanto,Flumen Aufidi,TRUE,NA,NA,3,NA
113,3,L'atto datato 30 gennaio 1270 indica come una forte alluvione abbia prodotto una piena del fiume di Canne distruggendo quasi interamente il ponte costruito su di esso,2,1,1270,1270,30/01/1270,30/01/1270,Inverno,5,41.293332860000014,16.15678832,Fiume di Canne,Flumen Cannarum,TRUE,"L'ordine di ricostruire il ponte fu emanato il 16 dicembre 1270 (RA, VII, pp. 43-44) mentre il finanziamento il 12 marzo 1271 (RA, VII, p. 61)",NA,2,NA
114,5,"L'atto datato 18 ottobre 1278 indica come il lago di Salpi fosse in piena, tanto che le saline di Canne e di Salpi furono piene di acqua e per questo coperte e devastate",2,1,1278,1278,18/10/1278,18/10/1278,Autunno,5,41.377440209999996,16.12459673,Lago di Salpi,Pantanus Salparum,TRUE,NA,NA,2,NA
115,3,Un'alluvione successa nell'ottobre del 1727 ha causato la distruzione dei lavori di difesa nelle saline di Barletta,2,1,1727,1727,1/10/1727,31/10/1727,Autunno,5,41.31279327,16.28808685,Barletta,NA,TRUE,NA,NA,2,NA
116,3,Un'alluvione nel 1751 ha causato la distruzione di un ponte sul fiume Ofanto,2,1,1751,1751,NA,NA,NA,3,41.327450320000004,16.18842757,Fiume Ofanto,NA,TRUE,NA,NA,2,NA
117,3,Un'alluvione nel 1755 ha causato la piena dell'Ofanto distruggendo il ponte romano di Canosa,2,1,1755,1755,NA,NA,NA,3,41.13,16.04,Canosa,NA,TRUE,NA,NA,2,NA
118,3,Un'alluvione successa il 27 dicembre 1761 ha causato la piena dell'Ofanto che ebbe modo di straripare al lato destro del ponte romano di Canosa creando un nuovo alveo. Viene suggerito di ricostruire il ponte in un'altra posizione sul fiume.,2,1,1761,1761,27/12/1761,27/12/1761,Inverno,5,41.13,16.04,Canosa,NA,TRUE,NA,NA,2,NA
119,1,"Verosimilmente, tra il 1765 e il 1819, diversi periodi di siccità hanno portato a un basso livello le acque del lago di Salpi, rendendolo inagibile alla pesca",2,1,1765,1819,NA,NA,NA,3,41.377440209999996,16.12459673,Lago di Salpi,NA,TRUE,NA,NA,-2,NA
120,5,Nell'agosto del 1770 ci furono delle forti precipitazioni nell'area dell'Ofanto senza che queste tuttavia arrecarono danni alla salinizzazione,1,1,1770,1770,1/8/1770,30/08/1770,Estate,5,41.327450320000004,16.18842757,Fiume Ofanto,NA,TRUE,NA,NA,1,NA
121,5,Nel 1783 ci furono delle forti precipitazioni nell'area dell'Ofanto ma che comunque non arrecarono danni alla salinizzazione,1,1,1783,1783,NA,NA,NA,3,41.327450320000004,16.18842757,Fiume Ofanto,NA,TRUE,NA,NA,1,NA
122,3,Nel 1804 diverse alluvioni provocarono la piena dell'Ofanto tali da inondare le saline,2,1,1804,1804,NA,NA,NA,3,41.327450320000004,16.18842757,Fiume Ofanto,NA,TRUE,NA,NA,2,NA
123,3,Nell'inverno del 1813 diverse alluvioni provocarono la piena dell'Ofanto,2,1,1813,1813,NA,NA,Inverno,4,41.327450320000004,16.18842757,Fiume Ofanto,NA,TRUE,NA,NA,2,NA
124,3,Nel 1827 ci furono diverse alluvioni che provocarono la piena dell'Ofanto nelle saline,2,1,1827,1827,NA,NA,NA,3,41.327450320000004,16.18842757,Fiume Ofanto,NA,TRUE,NA,NA,2,NA
125,3,Nell'inverno del 1832 ci furono diverse alluvioni che provocarono la piena del fiume Carapelle e dell'Ofanto tale che la superficie del lago [di Salpi] nel quale si riversarono ebbe modo di elevarsi al di sopra del livello del mare,2,1,1832,1832,NA,NA,Inverno,4,NA,NA,Fiume Carapelle/Fiume Ofanto,NA,TRUE,NA,NA,2,NA
126,3,"Nell'inverno del 1838, le forti precipitazioni e alluvioni provocarono la piena dell'Ofanto tale da incrementare la superficie del lago di Salpi",2,1,1838,1838,NA,NA,Inverno,4,41.38039865,16.12481878,Fiume Ofanto/Lago di Salpi,NA,TRUE,NA,NA,2,NA
127,5,Nel novembre del 1840 ci furono forti precipitazioni a Margherita di Savoia,2,1,1840,1840,1/11/1840,30/11/1840,Autunno,5,41.367844739999995,16.1557186,Margherita di Savoia,NA,TRUE,NA,NA,2,NA
128,5,Nell'ottobre del 1847 ci furono forti precipitazioni a Margherita di Savoia,2,1,1847,1847,1/10/1847,31/10/1847,Autunno,5,41.367844739999995,16.1557186,Margherita di Savoia,NA,TRUE,NA,NA,2,NA
129,3,Nel 1850 diverse alluvioni provocarono la piena dell'Ofanto tanto da far crollare il ponte costruito da Traiano nel 112 a. C. tra Margherita di Savoia e Barletta,2,1,1850,1850,NA,NA,NA,3,41.367844739999995,16.1557186,Margherita di Savoia/Barletta,NA,TRUE,NA,NA,2,NA
130,3,Nel 1852 diverse alluvioni provocarono la piena dell'Ofanto tanto da causare danni al ponte di Canosa bisognoso di manutenzione,2,1,1852,1852,NA,NA,NA,3,41.13,16.04,Canosa,NA,TRUE,NA,NA,2,NA
131,3,"Nel 1853, diverse alluvioni provocarono la piena dell'Ofanto tanto che furono necessari dei lavori di riparazione del canale Ofantino",2,1,1853,1853,NA,NA,NA,3,41.34475536,16.13477782,Canale Ofantino/Fiume Ofanto,NA,TRUE,NA,NA,2,NA
133,3,L'atto datato 19 marzo 1278 indicherebbe un'imminente abbondanza d'acqua in arrivo presso le saline situate nelle zone di Orte e San Lorenzo,1,1,1278,1278,19/03/1278,19/03/1278,Inverno,5,NA,NA,Orte/San Lorenzo,NA,TRUE,NA,NA,1,NA
134,3,"L'atto datato 1° aprile 1276 c'informa di un fiume chiamato Gizzolo esistente presso Sulmona, il cui corso fu deviato, probabilmente a causa di un'alluvione",1,1,1276,1276,1/4/1276,1/4/1276,Primavera,5,42.04968494999999,13.92717615,Sulmona,Sulmone,TRUE,NA,NA,1,NA
136,3,"L'atto datato 12 marzo 1270 c'informa dell'ordine di ricostruzione del ponte di Apolla da parte di re Carlo, situato nel luogo detto Tallata, il quale era crollato per la piena del fiume [Tanagro]",2,1,1270,1270,12/3/1270,12/3/1270,Inverno,5,40.51565011,15.49985258,Polla/Tallata,Apolla/Tallata,TRUE,NA,NA,2,NA
137,3,"L'atto datato 20 agosto 1269 c'informa che a causa della piena del fiume Biferno, un ponte presso Guardia risulta crollato",2,1,1269,1269,20/08/1269,20/08/1269,Estate,5,41.260000000000005,14.33,Guardia,Guardia,TRUE,NA,NA,2,NA
138,3,"L'atto datato 2 febbraio 1270 c'informa di una casa distrutta nell'acqua del Biferno, probabilmente causata da un'alluvione",2,1,1270,1270,02/02/1270,02/02/1270,Inverno,5,41.930259920000005,14.99322667,Fiume Biferno,NA,TRUE,NA,NA,2,NA
139,3,"L'atto datato 14 gennaio 1271 c'informa, tra i molti fatti, che il Giustiziere di Terra di Bari dovesse far costruire sollecitamente il ponte di Canne, probabilmente crollato a causa della piena del fiume",1,1,1271,1271,14/01/1271,14/01/1271,Inverno,5,41.29038555,16.14929624,Canne,Canne,TRUE,NA,NA,1,NA
150,3,"L'atto datato 3 giugno 1318 c'informa della ricostruzione del casale di S. Maria della Noce, in Molise, distrutto da un'inondazione",2,1,1318,1318,03/06/1318,03/06/1318,Primavera,5,41.84933857,14.41921109,S. Maria della Noce,Sancta Marie de Nuce,TRUE,NA,NA,2,NA
152,8,L'atto datato 26 luglio 1325 indica che da ben tre anni a Bitonto ci fu un eccessivo calore tale da seccare gli olivi fin dalle radici e distruggere il frumento e le piante erbacee,2,1,1322,1325,1322,26/07/1325,Estate,5,41.10998962,16.6910891,Bitonto,Bitontum,TRUE,NA,NA,-2,2
153,9,L'atto datato 26 luglio 1325 indica che da ben tre anni a Bitonto ci fu un eccessivo freddo tale da seccare gli olivi fin dalle radici e distruggere il frumento e le piante erbacee,2,1,1322,1325,1322,26/07/1325,Estate,5,41.10998962,16.6910891,Bitonto,Bitontum,TRUE,NA,NA,2,-2
155,3,"L'atto datato 1° aprile 1291 c'informa di un fiume chiamato Gizzolo (o Gizio) esistente presso Sulmona, il cui corso fu deviato, probabilmente a causa di un'alluvione",1,1,1291,1291,1/4/1291,1/4/1291,Primavera,5,42.05121773,13.92718076,Sulmona,Sulmone,TRUE,Vedi n. 134. Forse il Faraglia sbaglia la datazione dell'anno.,NA,1,NA
156,3,"L'atto datato 1302 indica come re Carlo II ordina la ricostruzione delle strade e vie che da Sulmona andavano fino a Isernia in quanto bloccate da acque pluviali, sassi ecc. probabilmente in seguito a un'alluvione",2,1,1302,1302,NA,NA,NA,3,42.05121773,13.92718076,Sulmona/Isernia,Sulmona/Isernia,TRUE,NA,NA,2,NA
157,3,L'atto datato 3 ottobre 1317 c'informa di un'inondazione del torrente Vella che scorre vicino a Sulmona e al Castello di Pacentro,2,1,1317,1317,3/10/1317,3/10/1317,Autunno,5,42.05122374,13.99304723,Sulmona/Castello di Pacentro,Sulmona/Castrum Pacentri,TRUE,NA,NA,2,NA
166,4,L'annalista registra all'anno 1048 delle grandi nevicate in Italia per cinque anni,1,4,1048,1053,NA,NA,NA,2,NA,NA,Italia,Italia,FALSE,NA,NA,1,-1
168,4,"L'annalista registra all'anno 1063, precisamente il 5 ottobre, una forte grandinata",1,4,1063,1063,5/10/1063,5/10/1063,Autunno,5,NA,NA,Regno,Regnum,FALSE,NA,NA,1,-1
169,5,"L'annalista registra all'anno 1066, precisamente il 3 di febbraio, delle forti precipitazioni",1,4,1066,1066,03/02/1066,03/02/1066,Inverno,5,NA,NA,Regno,Regnum,FALSE,NA,NA,1,NA
172,5,L'annalista registra all'anno 1084 delle forti precipitazioni tanto che ci fu un'abbondanza di vino per sette anni,1,4,1084,1084,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,1,NA
174,9,L'annalista registra all'anno 1098 un'estate molto calda tanto che le uve maturarono velocemente,2,4,1098,1098,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,2,-2
176,4,L'annalista registra all'anno 1105 delle grandi nevicate,1,4,1105,1105,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,1,-1
177,3,L'annalista registra all'anno 1105 delle grandi inondazioni causate dai fiumi,1,4,1105,1105,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,1,NA
191,8,L'annalista registra all'anno 1167 un'estate con calore eccessivo tanto da far ammalare e uccidere molti soldati dell'esercito dell'imperatore,2,4,1167,1167,NA,NA,Estate,4,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,2
192,5,L'annalista registra all'anno 1167 delle forti precipitazioni tra l'8 agosto e il 20 novembre,1,4,1167,1167,08/08/1167,20/11/1167,Estate/Autunno,5,NA,NA,Regno,Regnum,FALSE,NA,NA,1,NA
193,1,L'annalista registra all'anno 1167 un periodo di siccità tra il 20 novembre e il 13 febbraio del 1168,2,4,1167,1167,20/11/1167,13/02/1168,Autunno/Inverno,5,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,NA
195,9,"L'annalista registra all'anno 1167 un freddo eccessivo causato dal vento tale da non far crescere i raccolti, da congelare gli stagni e addirittura il lago di Fucino",2,1,1167,1167,NA,NA,NA,3,41.99,13.54,Lago di Fucino,NA,TRUE,NA,NA,2,-2
196,8,L'annalista registra all'anno 1168 un'estate molto calda tanto che non piovve mai,2,4,1168,1168,NA,NA,Estate,4,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,2
197,1,L'annalista registra all'anno 1168 un'estate molto calda tanto che non piovve mai,2,4,1168,1168,NA,NA,Estate,4,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,NA
199,8,L'annalista registra all'anno 1173 un'estate molto calda tanto da seccare tutte le radici,2,4,1173,1173,NA,NA,Estate,4,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,2
207,4,L'annalista registra all'anno 1211 delle grandi nevicate tali che ''ogni uomo vivente diceva di non averne mai vista così tanta neve'',3,4,1211,1211,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,3,-3
208,3,L'annalista registra all'anno 1211 delle grandi nevicate che causarono delle alluvioni verso le pianure,2,4,1211,1211,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,2,NA
209,9,L'annalista registra all'anno 1211 che per 15 giorni fece così freddo tanto da seccare i fichi dalle radici,2,4,1211,1211,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,2,-2
216,1,L'annalista registra all'anno 1091 un periodo di siccità tanto che non piovve fino alla festa di san Nicolò,2,4,1091,1091,NA,08/12/1091,Inverno,5,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,NA
230,5,"L'annalista registra al 14 di marzo 1150 una pioggia torbida, e per la festa di San Giovanni Battista una pioggia di sangue",1,4,1150,1150,14/03/1150,24/06/1150,Inverno/Primavera/Estate,5,NA,NA,Regno,Regnum,FALSE,NA,NA,1,NA
240,8,L'annalista indica all'anno 1190 un'estate particolarmente calda,2,4,1190,1190,NA,NA,Estate,4,NA,NA,Regno,Regnum,FALSE,NA,NA,-2,2
241,5,L'annalista registra all'anno 1191 del maltempo che ebbe modo di causare la morte di molti soldati dell'imperatore,2,4,1191,1191,NA,NA,NA,3,NA,NA,Regno,Regnum,FALSE,NA,NA,2,NA
244,8,"L'annalista indica all'anno 1208, precisamente il 25 agosto, un'estate particolarmente calda a Montecassino",1,4,1208,1208,25/08/1208,25/08/1208,Estate,5,41.491802549999996,13.8137744,Montecassino/Regno,Montecassinum/Regnum,FALSE,NA,NA,-1,1
249,8,L'annalista registra all'anno 1022 una probabile estate particolarmente calda a Troia,1,1,1022,1022,NA,NA,Estate,4,41.36434454,15.31533942,Troia,Troia,TRUE,NA,NA,-1,1
